experiment,label,feature_count,best_epoch,best_val_loss,RMSE,MAE,MAPE,R2,peak_hit_rate,peak_value_error
flu_only,仅流感历史,13,19,0.049970634281635284,0.979362964630127,0.6024242043495178,13.576431572437286,0.45071887969970703,0.35,2.6713643074035645
flu_weather,流感+气象,20,10,0.04810645431280136,0.9805673360824585,0.621031641960144,14.354033768177032,0.44936710596084595,0.375,1.5330314636230469
flu_search,流感+搜索,22,9,0.05036950414068997,1.0167851448059082,0.6140350699424744,13.377045094966888,0.4079400897026062,0.3,2.268749237060547
all_sources,三源融合,29,12,0.04999776789918542,0.9943245053291321,0.5916123390197754,13.038329780101776,0.4338081479072571,0.3,2.356917381286621
